instantid,instant
1,2020-06-01 10:29:42.668208+02
2,2020-06-02 20:27:52.353226+02
3,2020-06-03 22:04:46.124268+02
4,2020-06-02 12:36:02.624752+02
5,2020-06-03 05:49:40.344492+02
6,2020-06-03 07:20:48.048547+02
7,2020-06-04 12:08:46.700004+02
8,2020-06-01 14:31:24.948783+02
9,2020-06-03 09:45:52.123591+02
10,2020-06-02 15:59:23.076796+02
11,2020-06-01 05:13:45.813282+02
12,2020-06-02 19:19:02.01991+02
13,2020-06-03 17:11:44.410118+02
14,2020-06-03 17:44:33.133116+02
15,2020-06-03 00:15:42.076547+02
16,2020-06-04 02:31:43.561175+02
17,2020-06-03 01:55:37.533793+02
18,2020-06-02 16:39:31.228338+02
19,2020-06-03 02:09:55.488606+02
20,2020-06-02 03:31:57.422845+02
21,2020-06-01 12:58:31.246676+02
22,2020-06-04 17:19:33.883765+02
23,2020-06-04 02:23:00.715414+02
24,2020-06-04 07:34:22.352481+02
25,2020-06-03 16:57:16.406968+02
26,2020-06-03 16:32:59.746607+02
27,2020-06-02 08:44:57.399553+02
28,2020-06-01 10:28:14.405822+02
29,2020-06-03 03:48:52.700575+02
30,2020-06-01 05:00:50.702899+02
31,2020-06-02 17:39:00.146159+02
32,2020-06-04 20:51:42.977565+02
33,2020-06-02 14:45:20.845265+02
34,2020-06-02 03:12:47.108368+02
35,2020-06-02 20:11:22.877791+02
36,2020-06-03 23:37:22.951699+02
37,2020-06-02 11:53:39.168415+02
38,2020-06-01 04:27:33.776204+02
39,2020-06-03 01:55:54.912397+02
40,2020-06-03 04:04:48.590671+02
41,2020-06-04 02:25:12.342898+02
42,2020-06-04 04:43:48.960341+02
43,2020-06-01 19:45:13.341786+02
44,2020-06-02 19:37:06.686603+02
45,2020-06-04 14:32:33.1709+02
46,2020-06-04 07:42:35.120571+02
47,2020-06-03 17:10:17.529879+02
48,2020-06-03 02:47:47.839108+02
49,2020-06-04 08:35:23.527843+02
50,2020-06-02 01:02:38.89768+02
51,2020-06-04 11:18:31.252106+02
52,2020-06-03 05:22:50.418978+02
53,2020-06-04 04:05:30.507108+02
54,2020-06-04 17:04:35.686283+02
55,2020-06-02 08:15:19.619701+02
56,2020-06-02 23:30:51.533321+02
57,2020-06-03 06:27:40.120518+02
58,2020-06-01 00:21:20.385887+02
59,2020-06-01 22:43:36.395295+02
60,2020-06-03 20:11:48.483564+02
61,2020-06-03 20:48:01.785238+02
62,2020-06-03 09:58:13.274191+02
63,2020-06-01 03:57:00.540756+02
64,2020-06-02 07:42:00.271145+02
65,2020-06-02 17:50:24.052624+02
66,2020-06-03 03:57:47.292374+02
67,2020-06-01 20:15:17.212234+02
68,2020-06-02 22:29:49.412167+02
69,2020-06-02 23:41:59.858617+02
70,2020-06-01 17:14:21.780877+02
71,2020-06-02 21:32:04.789647+02
72,2020-06-02 03:36:14.37843+02
73,2020-06-01 11:36:02.870538+02
74,2020-06-03 02:09:34.753558+02
75,2020-06-02 08:26:08.705261+02
76,2020-06-04 21:33:40.917597+02
77,2020-06-04 08:34:51.24989+02
78,2020-06-01 06:51:20.796587+02
79,2020-06-03 12:24:41.512348+02
80,2020-06-04 00:18:58.284549+02
81,2020-06-03 07:11:16.096414+02
82,2020-06-02 16:14:29.902331+02
83,2020-06-03 17:02:28.37436+02
84,2020-06-03 08:48:29.416139+02
85,2020-06-02 03:32:51.369431+02
86,2020-06-03 20:29:34.899425+02
87,2020-06-04 21:18:25.313371+02
88,2020-06-04 17:45:47.335365+02
89,2020-06-01 06:55:24.264288+02
90,2020-06-01 12:01:58.670175+02
91,2020-06-02 19:32:49.037595+02
92,2020-06-03 05:36:26.829635+02
93,2020-06-03 15:46:39.896587+02
94,2020-06-02 08:17:26.240044+02
95,2020-06-02 07:47:11.319652+02
96,2020-06-01 23:06:15.468882+02
97,2020-06-01 02:39:45.356024+02
98,2020-06-04 18:26:22.189001+02
99,2020-06-03 03:02:20.190043+02
100,2020-06-02 21:33:11.597407+02
